sta_code,sku_code,长(CM),宽(CM),高(CM),qty
ORDER_0015,BOX_0015_0014,29.44,40.36,9.67,1
ORDER_0015,BOX_0015_0015,29.44,40.36,10.57,1
ORDER_0015,BOX_0015_0016,100.0,6.05,35.02,1
ORDER_0015,BOX_0015_0017,5.22,49.63,27.94,1
ORDER_0015,BOX_0015_0018,49.63,27.94,4.53,1
ORDER_0015,BOX_0015_0019,29.44,15.69,62.87,1
ORDER_0015,BOX_0015_0020,37.13,15.69,29.44,1
ORDER_0015,BOX_0015_0021,100.0,13.71,21.85,1
ORDER_0015,BOX_0015_0022,100.0,13.71,13.17,1
ORDER_0015,BOX_0015_0023,16.32,24.52,65.82,1
ORDER_0015,BOX_0015_0024,65.82,23.56,24.52,1
ORDER_0015,BOX_0015_0025,50.37,19.05,63.04,1
ORDER_0015,BOX_0015_0026,50.37,11.63,63.04,1
ORDER_0015,BOX_0015_0027,39.77,30.68,12.48,1
ORDER_0015,BOX_0015_0028,30.68,39.77,24.48,1
ORDER_0015,BOX_0015_0029,25.6,36.96,21.08,1
ORDER_0015,BOX_0015_0030,34.63,36.96,21.08,1
ORDER_0015,BOX_0015_0031,34.02,39.88,39.71,1
ORDER_0015,BOX_0015_0032,39.71,31.8,39.88,1
ORDER_0016,BOX_0016_0000,34.24,21.9,50.63,1
ORDER_0016,BOX_0016_0001,34.24,25.37,32.58,1
ORDER_0016,BOX_0016_0002,34.24,36.11,21.3,1
ORDER_0016,BOX_0016_0003,34.24,16.13,21.3,1
ORDER_0016,BOX_0016_0004,25.42,39.32,34.24,1
ORDER_0016,BOX_0016_0005,49.37,10.84,28.1,1
ORDER_0016,BOX_0016_0006,49.37,23.4,28.1,1
ORDER_0016,BOX_0016_0007,32.58,10.14,34.24,1
ORDER_0016,BOX_0016_0008,13.86,32.58,34.24,1
ORDER_0016,BOX_0016_0009,36.28,16.9,67.18,1
ORDER_0016,BOX_0016_0010,52.24,11.27,13.54,1
ORDER_0016,BOX_0016_0011,6.75,13.54,52.24,1
ORDER_0016,BOX_0016_0012,32.82,61.79,65.76,1
ORDER_0016,BOX_0016_0013,32.82,38.21,65.76,1
ORDER_0016,BOX_0016_0014,67.18,40.0,8.84,1
ORDER_0016,BOX_0016_0015,19.69,20.62,67.18,1
ORDER_0016,BOX_0016_0016,67.18,19.4,17.51,1
ORDER_0016,BOX_0016_0017,19.4,22.72,18.77,1
ORDER_0016,BOX_0016_0018,19.4,44.46,18.77,1
ORDER_0016,BOX_0016_0019,10.84,22.34,39.32,1
ORDER_0016,BOX_0016_0020,22.34,39.32,23.4,1
ORDER_0016,BOX_0016_0021,34.24,50.63,25.05,1
ORDER_0016,BOX_0016_0022,13.73,34.24,50.63,1
ORDER_0016,BOX_0016_0023,36.24,60.0,29.46,1
ORDER_0016,BOX_0016_0024,30.94,60.0,29.46,1
ORDER_0016,BOX_0016_0025,9.36,20.62,67.18,1
ORDER_0016,BOX_0016_0026,10.95,20.62,67.18,1
ORDER_0016,BOX_0016_0027,18.02,26.15,20.7,1
ORDER_0016,BOX_0016_0028,20.7,18.02,26.09,1
ORDER_0016,BOX_0016_0029,36.31,36.3,63.72,1
ORDER_0016,BOX_0016_0030,30.87,36.3,63.72,1
ORDER_0017,BOX_0017_0000,13.25,100.0,50.62,1
ORDER_0017,BOX_0017_0001,20.7,100.0,50.62,1
ORDER_0017,BOX_0017_0002,26.39,30.99,50.62,1
ORDER_0017,BOX_0017_0003,39.66,30.99,50.62,1
ORDER_0017,BOX_0017_0004,69.01,50.62,27.16,1
ORDER_0017,BOX_0017_0005,100.0,44.64,25.02,1
ORDER_0017,BOX_0017_0006,24.36,38.87,100.0,1
ORDER_0017,BOX_0017_0007,24.36,61.13,49.01,1
ORDER_0017,BOX_0017_0008,19.58,25.02,100.0,1
ORDER_0017,BOX_0017_0009,58.86,35.78,25.02,1
ORDER_0017,BOX_0017_0010,25.02,35.78,19.3,1
ORDER_0017,BOX_0017_0011,8.62,35.78,25.02,1
ORDER_0017,BOX_0017_0012,25.02,35.78,13.22,1
ORDER_0017,BOX_0017_0013,38.89,69.01,21.51,1
ORDER_0017,BOX_0017_0014,29.11,69.01,38.89,1
ORDER_0017,BOX_0017_0015,24.36,29.64,61.13,1
ORDER_0017,BOX_0017_0016,24.36,61.13,21.35,1
ORDER_0018,BOX_0018_0000,11.47,100.0,51.21,1
ORDER_0018,BOX_0018_0001,64.56,22.71,30.65,1
ORDER_0018,BOX_0018_0002,26.08,21.54,100.0,1
ORDER_0018,BOX_0018_0003,100.0,9.71,43.02,1
ORDER_0018,BOX_0018_0004,16.37,43.02,100.0,1
ORDER_0018,BOX_0018_0005,22.71,30.46,43.07,1
ORDER_0018,BOX_0018_0006,43.07,22.71,14.96,1
ORDER_0018,BOX_0018_0007,12.7,43.07,23.93,1
ORDER_0018,BOX_0018_0008,23.93,10.01,43.07,1
ORDER_0018,BOX_0018_0009,36.89,48.16,51.21,1
ORDER_0018,BOX_0018_0010,23.18,22.71,21.49,1
ORDER_0018,BOX_0018_0011,39.06,51.21,22.06,1
ORDER_0018,BOX_0018_0012,60.94,51.21,22.06,1
ORDER_0018,BOX_0018_0013,16.52,66.47,51.84,1
ORDER_0018,BOX_0018_0014,66.47,51.84,7.89,1
ORDER_0018,BOX_0018_0015,35.44,34.57,29.41,1
ORDER_0018,BOX_0018_0016,19.38,34.57,35.44,1
ORDER_0018,BOX_0018_0017,29.58,48.16,18.29,1
ORDER_0018,BOX_0018_0018,29.58,32.92,48.16,1
ORDER_0018,BOX_0018_0019,46.17,8.83,22.71,1
ORDER_0018,BOX_0018_0020,12.66,22.71,46.17,1
ORDER_0018,BOX_0018_0021,28.04,29.36,26.8,1
ORDER_0018,BOX_0018_0022,48.79,25.13,35.44,1
ORDER_0018,BOX_0018_0023,48.79,35.44,40.3,1
ORDER_0018,BOX_0018_0024,38.43,20.66,26.8,1
ORDER_0018,BOX_0018_0025,31.18,38.43,26.8,1
ORDER_0018,BOX_0018_0026,28.04,18.75,22.48,1
ORDER_0018,BOX_0018_0027,22.48,8.05,28.04,1
ORDER_0019,BOX_0019_0000,38.03,59.82,26.59,1
ORDER_0019,BOX_0019_0001,22.2,100.0,33.92,1
ORDER_0019,BOX_0019_0002,17.87,26.59,40.18,1
ORDER_0019,BOX_0019_0003,40.18,26.59,11.24,1
ORDER_0019,BOX_0019_0004,37.0,25.48,31.57,1
ORDER_0019,BOX_0019_0005,13.69,31.57,37.0,1
ORDER_0019,BOX_0019_0006,21.47,31.57,48.77,1
ORDER_0019,BOX_0019_0007,51.23,14.82,31.57,1
ORDER_0019,BOX_0019_0008,51.23,6.65,31.57,1
ORDER_0019,BOX_0019_0009,65.07,26.59,36.2,1
ORDER_0019,BOX_0019_0010,100.0,68.01,12.77,1
ORDER_0019,BOX_0019_0011,25.23,26.59,8.92,1
ORDER_0019,BOX_0019_0012,14.95,26.59,8.92,1
ORDER_0019,BOX_0019_0013,53.91,12.77,31.99,1
ORDER_0019,BOX_0019_0014,34.13,27.88,34.51,1
ORDER_0019,BOX_0019_0015,26.2,31.99,12.77,1
ORDER_0019,BOX_0019_0016,12.77,31.99,19.89,1
ORDER_0019,BOX_0019_0017,42.7,34.93,26.59,1
ORDER_0019,BOX_0019_0018,34.93,19.27,26.59,1
ORDER_0019,BOX_0019_0019,19.42,38.44,42.27,1
ORDER_0019,BOX_0019_0020,42.27,38.44,14.5,1
ORDER_0019,BOX_0019_0021,33.92,27.08,38.44,1
ORDER_0019,BOX_0019_0022,30.65,38.44,33.92,1
ORDER_0019,BOX_0019_0023,25.77,65.07,16.87,1
ORDER_0019,BOX_0019_0024,63.0,12.24,21.3,1
ORDER_0019,BOX_0019_0025,63.0,12.24,17.87,1
ORDER_0019,BOX_0019_0026,39.17,31.85,19.33,1
ORDER_0019,BOX_0019_0027,31.15,25.72,19.33,1
ORDER_0019,BOX_0019_0028,13.45,19.33,31.15,1
ORDER_0019,BOX_0019_0029,65.87,34.51,15.73,1
ORDER_0019,BOX_0019_0030,12.15,65.87,34.51,1
ORDER_0019,BOX_0019_0031,25.77,9.72,22.81,1
ORDER_0019,BOX_0019_0032,25.77,42.26,9.72,1
ORDER_0019,BOX_0019_0033,16.11,100.0,34.51,1
ORDER_0019,BOX_0019_0034,100.0,34.51,16.65,1
ORDER_0020,BOX_0020_0000,24.9,34.76,60.45,1
ORDER_0020,BOX_0020_0001,34.76,39.55,14.24,1
ORDER_0020,BOX_0020_0002,44.85,46.63,20.53,1
ORDER_0020,BOX_0020_0003,44.85,46.63,20.09,1
ORDER_0020,BOX_0020_0004,21.97,35.49,65.24,1
ORDER_0020,BOX_0020_0005,11.0,60.45,14.49,1
ORDER_0020,BOX_0020_0006,34.76,39.55,20.21,1
ORDER_0020,BOX_0020_0007,49.64,35.04,37.41,1
ORDER_0020,BOX_0020_0008,11.15,23.34,100.0,1
ORDER_0020,BOX_0020_0009,23.34,100.0,9.24,1
ORDER_0020,BOX_0020_0010,44.45,29.7,23.76,1
ORDER_0020,BOX_0020_0011,53.37,44.85,22.29,1
ORDER_0020,BOX_0020_0012,30.2,32.48,37.41,1
ORDER_0020,BOX_0020_0013,19.17,34.76,53.73,1
ORDER_0020,BOX_0020_0014,19.17,34.76,46.27,1
ORDER_0020,BOX_0020_0015,36.79,17.28,20.39,1
ORDER_0020,BOX_0020_0016,20.39,63.21,17.28,1
ORDER_0020,BOX_0020_0017,23.27,53.37,18.33,1
ORDER_0020,BOX_0020_0018,21.58,53.37,18.33,1
ORDER_0020,BOX_0020_0019,65.24,11.98,28.07,1
ORDER_0020,BOX_0020_0020,37.19,25.43,28.07,1
ORDER_0020,BOX_0020_0021,28.05,25.43,28.07,1
ORDER_0020,BOX_0020_0022,33.31,29.96,11.0,1
ORDER_0020,BOX_0020_0023,11.0,27.14,29.96,1
ORDER_0020,BOX_0020_0024,27.91,30.75,23.76,1
ORDER_0020,BOX_0020_0025,16.54,30.75,23.76,1
ORDER_0020,BOX_0020_0026,21.19,31.33,21.97,1
ORDER_0020,BOX_0020_0027,44.05,31.33,21.97,1
ORDER_0020,BOX_0020_0028,24.42,39.55,20.13,1
ORDER_0020,BOX_0020_0029,24.42,14.63,39.55,1
ORDER_0020,BOX_0020_0030,21.97,65.24,12.17,1
ORDER_0020,BOX_0020_0031,21.01,37.32,21.97,1
ORDER_0020,BOX_0020_0032,27.92,21.97,21.01,1
ORDER_0020,BOX_0020_0033,17.89,36.05,11.48,1
ORDER_0020,BOX_0020_0034,11.48,36.05,16.87,1
ORDER_0020,BOX_0020_0035,34.76,32.4,11.48,1
ORDER_0020,BOX_0020_0036,11.48,34.76,31.55,1
ORDER_0020,BOX_0020_0037,65.24,37.41,10.08,1
ORDER_0020,BOX_0020_0038,19.53,17.16,30.2,1
ORDER_0020,BOX_0020_0039,17.16,17.88,30.2,1
ORDER_0020,BOX_0020_0040,65.24,23.33,12.21,1
ORDER_0020,BOX_0020_0041,65.24,14.08,12.21,1
ORDER_0020,BOX_0020_0042,34.76,39.55,4.99,1
ORDER_0020,BOX_0020_0043,34.76,39.55,5.49,1
ORDER_0021,BOX_0021_0000,45.31,14.19,100.0,1
ORDER_0021,BOX_0021_0001,23.24,47.02,54.69,1
ORDER_0021,BOX_0021_0002,45.31,23.0,32.83,1
ORDER_0021,BOX_0021_0003,50.33,14.95,25.81,1
ORDER_0021,BOX_0021_0004,21.81,38.01,35.65,1
ORDER_0021,BOX_0021_0005,38.01,21.81,17.33,1
ORDER_0021,BOX_0021_0006,100.0,14.37,31.01,1
ORDER_0021,BOX_0021_0007,100.0,14.37,21.97,1
ORDER_0021,BOX_0021_0008,9.94,47.02,50.33,1
ORDER_0021,BOX_0021_0009,49.78,22.53,52.98,1
ORDER_0021,BOX_0021_0010,47.02,26.43,8.49,1
ORDER_0021,BOX_0021_0011,26.43,11.06,47.02,1
ORDER_0021,BOX_0021_0012,15.43,66.9,21.92,1
ORDER_0021,BOX_0021_0013,66.9,15.43,31.06,1
ORDER_0021,BOX_0021_0014,33.1,15.43,33.0,1
ORDER_0021,BOX_0021_0015,52.98,29.28,22.53,1
ORDER_0021,BOX_0021_0016,15.54,32.07,50.33,1
ORDER_0021,BOX_0021_0017,32.83,45.31,17.57,1
ORDER_0021,BOX_0021_0018,47.02,50.33,6.47,1
ORDER_0021,BOX_0021_0019,50.33,47.02,12.47,1
ORDER_0021,BOX_0021_0020,18.36,14.89,32.35,1
ORDER_0021,BOX_0021_0021,32.35,14.89,26.95,1
ORDER_0021,BOX_0021_0022,25.86,30.49,37.86,1
ORDER_0021,BOX_0021_0023,22.49,37.86,25.86,1
ORDER_0021,BOX_0021_0024,26.43,35.14,21.95,1
ORDER_0021,BOX_0021_0025,26.43,35.14,25.07,1
ORDER_0021,BOX_0021_0026,22.25,27.08,45.31,1
ORDER_0021,BOX_0021_0027,10.58,45.31,27.08,1
ORDER_0021,BOX_0021_0028,19.95,15.43,19.98,1
ORDER_0021,BOX_0021_0029,13.15,15.43,19.98,1
ORDER_0021,BOX_0021_0030,25.86,52.98,19.99,1
ORDER_0021,BOX_0021_0031,42.15,25.86,52.98,1
ORDER_0021,BOX_0021_0032,13.73,17.94,32.35,1
ORDER_0021,BOX_0021_0033,31.58,17.94,32.35,1
ORDER_0021,BOX_0021_0034,30.59,22.53,20.94,1
ORDER_0021,BOX_0021_0035,22.53,22.39,20.94,1
ORDER_0021,BOX_0021_0036,28.15,32.07,10.27,1
ORDER_0021,BOX_0021_0037,22.18,10.27,32.07,1
ORDER_0021,BOX_0021_0038,61.99,34.58,21.81,1
ORDER_0021,BOX_0021_0039,18.4,21.81,61.99,1
ORDER_0022,BOX_0022_0000,100.0,23.55,27.78,1
ORDER_0022,BOX_0022_0001,37.53,29.39,21.24,1
ORDER_0022,BOX_0022_0002,27.93,27.78,32.18,1
ORDER_0022,BOX_0022_0003,27.93,27.78,22.9,1
ORDER_0022,BOX_0022_0004,64.42,20.54,43.35,1
ORDER_0022,BOX_0022_0005,25.74,64.42,20.54,1
ORDER_0022,BOX_0022_0006,100.0,23.87,17.47,1
ORDER_0022,BOX_0022_0007,17.47,26.06,100.0,1
ORDER_0022,BOX_0022_0008,29.39,28.64,21.24,1
ORDER_0022,BOX_0022_0009,29.39,21.24,33.83,1
ORDER_0022,BOX_0022_0010,29.58,29.39,53.41,1
ORDER_0022,BOX_0022_0011,41.68,14.92,55.0,1
ORDER_0022,BOX_0022_0012,7.37,41.68,55.0,1
ORDER_0022,BOX_0022_0013,17.23,44.92,27.78,1
ORDER_0022,BOX_0022_0014,10.7,44.92,27.78,1
ORDER_0022,BOX_0022_0015,22.29,21.26,30.06,1
ORDER_0022,BOX_0022_0016,48.52,56.94,27.78,1
ORDER_0022,BOX_0022_0017,15.86,43.06,11.93,1
ORDER_0022,BOX_0022_0018,16.67,69.09,20.54,1
ORDER_0022,BOX_0022_0019,22.29,28.46,37.09,1
ORDER_0022,BOX_0022_0020,16.54,37.09,22.29,1
ORDER_0022,BOX_0022_0021,48.52,27.76,15.85,1
ORDER_0022,BOX_0022_0022,38.64,49.93,13.44,1
ORDER_0022,BOX_0022_0023,18.68,61.36,13.44,1
ORDER_0022,BOX_0022_0024,7.98,21.26,24.94,1
ORDER_0022,BOX_0022_0025,14.31,21.26,24.94,1
ORDER_0022,BOX_0022_0026,31.25,25.62,13.44,1
ORDER_0022,BOX_0022_0027,31.25,13.44,35.74,1
ORDER_0022,BOX_0022_0028,15.24,29.58,29.39,1
ORDER_0022,BOX_0022_0029,31.35,29.39,29.58,1
ORDER_0022,BOX_0022_0030,18.27,61.9,29.39,1
ORDER_0022,BOX_0022_0031,38.1,18.27,29.39,1
ORDER_0022,BOX_0022_0032,32.66,26.08,11.93,1
ORDER_0022,BOX_0022_0033,32.66,16.98,11.93,1
ORDER_0022,BOX_0022_0034,18.91,20.54,42.27,1
ORDER_0022,BOX_0022_0035,18.91,20.54,26.82,1
ORDER_0022,BOX_0022_0036,15.3,29.47,15.85,1
ORDER_0022,BOX_0022_0037,15.85,19.05,15.3,1
ORDER_0022,BOX_0022_0038,9.74,37.06,34.26,1
ORDER_0022,BOX_0022_0039,9.74,37.06,65.74,1
ORDER_0022,BOX_0022_0040,45.0,12.58,22.29,1
ORDER_0022,BOX_0022_0041,22.29,13.27,45.0,1
ORDER_0022,BOX_0022_0042,12.55,48.94,37.06,1
ORDER_0022,BOX_0022_0043,37.06,51.06,12.55,1
ORDER_0023,BOX_0023_0000,21.25,44.47,34.14,1
ORDER_0023,BOX_0023_0001,44.47,27.77,30.03,1
ORDER_0023,BOX_0023_0002,25.91,44.47,23.24,1
ORDER_0023,BOX_0023_0003,44.47,22.94,18.05,1
ORDER_0023,BOX_0023_0004,55.53,49.28,11.34,1
ORDER_0023,BOX_0023_0005,32.79,23.99,49.28,1
ORDER_0023,BOX_0023_0006,44.47,25.91,17.32,1
ORDER_0023,BOX_0023_0007,44.47,25.91,25.3,1
ORDER_0023,BOX_0023_0008,33.56,23.57,16.67,1
ORDER_0023,BOX_0023_0009,25.61,17.99,51.64,1
ORDER_0023,BOX_0023_0010,100.0,15.13,38.86,1
ORDER_0023,BOX_0023_0011,100.0,7.81,38.86,1
ORDER_0023,BOX_0023_0012,27.58,44.47,51.03,1
ORDER_0023,BOX_0023_0013,44.47,51.03,16.48,1
ORDER_0023,BOX_0023_0014,23.57,42.78,16.67,1
ORDER_0023,BOX_0023_0015,23.66,16.67,23.57,1
ORDER_0023,BOX_0023_0016,11.79,44.47,30.03,1
ORDER_0023,BOX_0023_0017,26.3,44.47,30.03,1
ORDER_0023,BOX_0023_0018,32.92,51.64,25.11,1
ORDER_0023,BOX_0023_0019,22.61,25.11,51.64,1
ORDER_0023,BOX_0023_0020,22.94,44.47,17.59,1
ORDER_0023,BOX_0023_0021,22.94,44.47,8.42,1
ORDER_0023,BOX_0023_0022,31.54,17.18,32.79,1
ORDER_0023,BOX_0023_0023,32.79,32.1,31.54,1
ORDER_0023,BOX_0023_0024,47.27,25.42,38.86,1
ORDER_0023,BOX_0023_0025,100.0,16.67,13.22,1
ORDER_0023,BOX_0023_0026,16.67,100.0,11.57,1
ORDER_0023,BOX_0023_0027,31.23,49.28,7.51,1
ORDER_0023,BOX_0023_0028,49.28,7.51,24.3,1
ORDER_0023,BOX_0023_0029,23.48,26.03,44.47,1
ORDER_0023,BOX_0023_0030,20.58,44.47,26.03,1
ORDER_0023,BOX_0023_0031,34.69,34.14,26.41,1
ORDER_0023,BOX_0023_0032,34.69,18.06,34.14,1
ORDER_0023,BOX_0023_0033,13.25,37.54,51.64,1
ORDER_0023,BOX_0023_0034,12.36,37.54,51.64,1
ORDER_0023,BOX_0023_0035,52.73,25.42,14.22,1
ORDER_0023,BOX_0023_0036,24.64,25.42,52.73,1
ORDER_0024,BOX_0024_0000,16.53,48.16,46.16,1
ORDER_0024,BOX_0024_0001,46.16,19.23,48.16,1
ORDER_0024,BOX_0024_0002,51.84,30.27,44.72,1
ORDER_0024,BOX_0024_0003,51.84,21.76,30.27,1
ORDER_0024,BOX_0024_0004,64.24,48.16,26.19,1
ORDER_0024,BOX_0024_0005,64.24,25.15,19.97,1
ORDER_0024,BOX_0024_0006,41.14,53.84,14.67,1
ORDER_0024,BOX_0024_0007,30.58,14.29,39.65,1
ORDER_0024,BOX_0024_0008,19.97,13.85,64.24,1
ORDER_0024,BOX_0024_0009,19.97,9.16,64.24,1
ORDER_0024,BOX_0024_0010,16.27,39.65,45.47,1
ORDER_0024,BOX_0024_0011,19.93,15.89,100.0,1
ORDER_0024,BOX_0024_0012,25.23,17.0,60.35,1
ORDER_0024,BOX_0024_0013,19.18,30.21,24.05,1
ORDER_0024,BOX_0024_0014,53.84,14.67,9.51,1
ORDER_0024,BOX_0024_0015,14.67,53.84,9.7,1
ORDER_0024,BOX_0024_0016,16.27,54.53,24.48,1
ORDER_0024,BOX_0024_0017,16.27,15.17,54.53,1
ORDER_0024,BOX_0024_0018,30.21,14.37,24.05,1
ORDER_0024,BOX_0024_0019,30.08,14.29,39.65,1
ORDER_0024,BOX_0024_0020,15.97,26.8,24.05,1
ORDER_0024,BOX_0024_0021,41.89,30.21,29.79,1
ORDER_0024,BOX_0024_0022,30.21,18.46,29.79,1
ORDER_0024,BOX_0024_0023,51.84,30.27,13.63,1
ORDER_0024,BOX_0024_0024,12.93,14.29,39.65,1
ORDER_0024,BOX_0024_0025,14.29,39.65,26.41,1
ORDER_0024,BOX_0024_0026,29.89,21.09,17.0,1
ORDER_0024,BOX_0024_0027,9.62,26.8,24.05,1
ORDER_0024,BOX_0024_0028,4.62,24.05,26.8,1
ORDER_0024,BOX_0024_0029,55.12,24.83,27.67,1
ORDER_0024,BOX_0024_0030,24.83,55.12,32.68,1
ORDER_0024,BOX_0024_0031,39.65,41.17,23.28,1
ORDER_0024,BOX_0024_0032,23.28,58.83,39.65,1
ORDER_0024,BOX_0024_0033,19.89,30.27,27.18,1
ORDER_0024,BOX_0024_0034,24.66,30.27,19.89,1
ORDER_0024,BOX_0024_0035,29.89,17.0,20.16,1
ORDER_0024,BOX_0024_0036,19.1,17.0,29.89,1
ORDER_0024,BOX_0024_0037,32.78,12.01,55.12,1
ORDER_0024,BOX_0024_0038,55.12,12.01,27.57,1
ORDER_0024,BOX_0024_0039,21.61,15.89,100.0,1
ORDER_0024,BOX_0024_0040,15.89,10.3,100.0,1
ORDER_0025,BOX_0025_0000,12.82,39.97,100.0,1
ORDER_0025,BOX_0025_0001,30.63,35.27,34.49,1
ORDER_0025,BOX_0025_0002,38.97,66.73,42.41,1
ORDER_0025,BOX_0025_0003,68.18,42.49,30.63,1
ORDER_0025,BOX_0025_0004,29.4,100.0,14.39,1
ORDER_0025,BOX_0025_0005,20.04,49.8,29.4,1
ORDER_0025,BOX_0025_0006,20.04,50.2,29.4,1
ORDER_0025,BOX_0025_0007,30.63,16.12,21.82,1
ORDER_0025,BOX_0025_0008,16.12,43.69,30.63,1
ORDER_0025,BOX_0025_0009,36.46,30.4,65.57,1
ORDER_0025,BOX_0025_0010,26.62,33.27,40.67,1
ORDER_0025,BOX_0025_0011,38.95,33.27,40.67,1
ORDER_0025,BOX_0025_0012,19.15,36.73,30.63,1
ORDER_0025,BOX_0025_0013,30.63,19.15,28.78,1
ORDER_0025,BOX_0025_0014,39.97,41.78,21.61,1
ORDER_0025,BOX_0025_0015,21.61,58.22,39.97,1
ORDER_0025,BOX_0025_0016,30.4,28.75,30.27,1
ORDER_0025,BOX_0025_0017,10.76,22.24,68.18,1
ORDER_0025,BOX_0025_0018,68.18,22.24,19.87,1
ORDER_0025,BOX_0025_0019,64.73,17.22,30.63,1
ORDER_0025,BOX_0025_0020,25.78,38.97,23.16,1
ORDER_0025,BOX_0025_0021,38.97,40.95,23.16,1
ORDER_0025,BOX_0025_0022,30.27,12.21,30.4,1
ORDER_0025,BOX_0025_0023,24.61,30.27,30.4,1
ORDER_0025,BOX_0025_0024,14.6,30.63,32.37,1
ORDER_0025,BOX_0025_0025,30.63,32.36,14.6,1
ORDER_0025,BOX_0025_0026,33.27,18.89,65.57,1
ORDER_0025,BOX_0025_0027,65.57,33.27,9.81,1
ORDER_0026,BOX_0026_0000,100.0,36.67,39.38,1
ORDER_0026,BOX_0026_0001,60.62,100.0,23.72,1
ORDER_0026,BOX_0026_0002,55.44,67.62,32.22,1
ORDER_0026,BOX_0026_0003,100.0,5.3,60.62,1
ORDER_0026,BOX_0026_0004,41.36,44.56,43.02,1
ORDER_0026,BOX_0026_0005,100.0,14.96,44.56,1
ORDER_0026,BOX_0026_0006,31.05,63.33,32.38,1
ORDER_0026,BOX_0026_0007,24.39,32.38,63.33,1
ORDER_0026,BOX_0026_0008,67.37,60.62,7.65,1
ORDER_0026,BOX_0026_0009,28.7,40.99,31.11,1
ORDER_0026,BOX_0026_0010,32.31,7.01,44.56,1
ORDER_0026,BOX_0026_0011,67.69,7.01,44.56,1
ORDER_0026,BOX_0026_0012,31.11,26.74,45.0,1
ORDER_0026,BOX_0026_0013,31.11,28.7,16.82,1
ORDER_0026,BOX_0026_0014,28.7,31.11,9.81,1
ORDER_0026,BOX_0026_0015,56.98,14.21,41.36,1
ORDER_0026,BOX_0026_0016,56.98,41.36,30.35,1
ORDER_0026,BOX_0026_0017,31.11,26.74,13.23,1
ORDER_0026,BOX_0026_0018,26.74,31.11,9.39,1
ORDER_0026,BOX_0026_0019,17.03,60.62,7.65,1
ORDER_0026,BOX_0026_0020,15.6,60.62,7.65,1
ORDER_0027,BOX_0027_0000,100.0,37.09,7.96,1
ORDER_0027,BOX_0027_0001,17.48,66.26,19.4,1
ORDER_0027,BOX_0027_0002,18.83,20.2,65.95,1
ORDER_0027,BOX_0027_0003,65.95,20.2,12.18,1
ORDER_0027,BOX_0027_0004,25.0,51.28,36.79,1
ORDER_0027,BOX_0027_0005,18.32,56.01,9.22,1
ORDER_0027,BOX_0027_0006,27.93,63.21,25.0,1
ORDER_0027,BOX_0027_0007,23.35,63.21,25.0,1
ORDER_0027,BOX_0027_0008,25.44,20.2,29.86,1
ORDER_0027,BOX_0027_0009,17.48,29.62,17.69,1
ORDER_0027,BOX_0027_0010,36.64,17.69,17.48,1
ORDER_0027,BOX_0027_0011,19.46,18.55,100.0,1
ORDER_0027,BOX_0027_0012,27.05,18.55,100.0,1
ORDER_0027,BOX_0027_0013,23.08,19.3,62.8,1
ORDER_0027,BOX_0027_0014,25.64,19.3,62.8,1
ORDER_0027,BOX_0027_0015,11.73,37.09,17.48,1
ORDER_0027,BOX_0027_0016,22.01,17.48,37.09,1
ORDER_0027,BOX_0027_0017,31.01,13.85,39.42,1
ORDER_0027,BOX_0027_0018,31.01,17.23,39.42,1
ORDER_0027,BOX_0027_0019,18.55,47.84,53.49,1
ORDER_0027,BOX_0027_0020,29.86,47.38,16.04,1
ORDER_0027,BOX_0027_0021,29.86,9.4,47.38,1
ORDER_0027,BOX_0027_0022,25.44,12.64,32.42,1
ORDER_0027,BOX_0027_0023,25.44,17.22,32.42,1
ORDER_0027,BOX_0027_0024,16.15,34.05,20.2,1
ORDER_0027,BOX_0027_0025,34.05,20.2,14.86,1
ORDER_0027,BOX_0027_0026,48.72,18.88,11.68,1
ORDER_0027,BOX_0027_0027,62.8,36.71,20.13,1
ORDER_0027,BOX_0027_0028,62.8,28.59,36.71,1
ORDER_0027,BOX_0027_0029,18.32,18.7,17.6,1
ORDER_0027,BOX_0027_0030,18.7,18.32,38.41,1
ORDER_0027,BOX_0027_0031,56.01,18.32,10.4,1
ORDER_0027,BOX_0027_0032,18.32,10.4,56.01,1
ORDER_0027,BOX_0027_0033,18.55,53.49,33.43,1
ORDER_0027,BOX_0027_0034,18.55,18.73,53.49,1
ORDER_0027,BOX_0027_0035,31.08,60.58,9.9,1
ORDER_0027,BOX_0027_0036,21.11,60.58,31.08,1
ORDER_0027,BOX_0027_0037,18.88,17.3,28.07,1
ORDER_0027,BOX_0027_0038,20.65,18.88,17.3,1
ORDER_0027,BOX_0027_0039,33.05,15.04,100.0,1
ORDER_0027,BOX_0027_0040,33.05,10.4,100.0,1
ORDER_0027,BOX_0027_0041,27.03,15.13,18.88,1
ORDER_0027,BOX_0027_0042,27.03,33.59,18.88,1
ORDER_0028,BOX_0028_0000,35.28,100.0,38.64,1
ORDER_0028,BOX_0028_0001,64.72,56.84,31.56,1
ORDER_0028,BOX_0028_0002,56.4,37.84,43.16,1
ORDER_0028,BOX_0028_0003,41.83,43.16,23.77,1
ORDER_0028,BOX_0028_0004,43.16,37.84,29.34,1
ORDER_0028,BOX_0028_0005,43.16,37.84,27.06,1
ORDER_0028,BOX_0028_0006,24.32,43.16,25.23,1
ORDER_0028,BOX_0028_0007,24.32,19.96,43.16,1
